,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Ctsg,14.276638975612338,3.7633344441544825,10.513304531457855,1.9234078393311935,3.324808689887748,7.172222978571409e-30,2.1516668935714225e-26,25.66722496231855,True
Elane,9.581236591390084,1.5924428441941783,7.988793747195906,2.5880554870542896,2.7195864444371165,1.927434816513497e-18,3.40135555855323e-16,15.468347966995113,True
Prtn3,8.560048779061235,2.442125087802059,6.117923691259176,1.8093037499088238,2.700680946198915,1.1791623643131563e-24,1.1791623643131563e-21,20.928426390774,True
Mpo,7.0454231009711865,1.6529754996039048,5.392447601367282,2.091094845956398,2.419322956568723,6.17915366933689e-22,2.3171826260013337e-19,18.63503973645644,True
S100a8,3.1855853779103986,-2.185315133412722,5.3709005113231205,,0.5850924550002146,9.4111351048223e-08,1.115944874089601e-06,5.952357258328554,True
Ms4a3,7.847187341830712,2.4798561044070797,5.367331237423633,1.6618500938648189,2.623754915964403,4.3355442878777694e-24,2.9549013425391767e-21,20.529457014649427,True
S100a9,2.9226611848237773,-2.0189313132616555,4.941592498085432,,0.5379072484148298,2.018697270333381e-10,5.3123612377194235e-09,8.274712400843713,True
Stfa1,2.669274504968751,-1.1000943481377805,3.7693688531065312,,0.8355927242524192,2.6318568341321135e-11,8.871427530782405e-10,9.052006490781773,True
Slpi,4.517714185680049,0.8227071682231403,3.6950070174569087,2.45553874172468,1.8758628788367966,1.1573595982063422e-12,5.6919324501951264e-11,10.244740262607708,True
Plac8,4.453656021145858,1.2617581029143388,3.1918979182315192,1.819196690383585,1.947743595382337,1.7258063511094283e-16,1.9913150205108788e-14,13.700860030355626,True
BC100530,1.0275197811636225,-2.001704785114029,3.0292245662776516,,-0.9632294331371102,3.774024802776277e-12,1.6650109424012985e-10,9.77858290797815,True
F630028O10Rik,2.9640727106596714,0.6383818585009604,2.325690852158711,2.213470776208834,1.4860590448311783,2.914934736703235e-14,2.3634605973269473e-12,11.626451633685216,True
Cebpe,2.3584621357001248,0.09327154664945615,2.2651905890506687,4.633293763160629,1.1543672884018283,1.4141270684766327e-19,2.828254136953265e-17,16.54848156894955,True
Ly6c2,1.6683269154603841,-0.5142294780818761,2.18255639354226,,0.6572272290096673,2.7890151572010403e-09,5.3980938526471746e-08,7.2677595689583745,True
CellTag.UTR,3.3863070862970894,1.4942914506613043,1.8920156356357851,1.1808553093836973,1.7825340691051004,2.2901556476052803e-10,5.872193968218667e-09,8.231199607394483,True
Lcn2,0.6765880625711388,-1.2146429767010098,1.8912310392721485,,-0.4521108787443614,5.656763970737472e-15,5.474287713616908e-13,12.261672380993751,True
Rgcc,2.3323707529041613,0.4579972264540896,1.8743735264500718,2.3457772426782393,1.2601364830187676,1.1114735419220416e-21,3.3344206257661245e-19,18.476979616287633,True
Lipg,1.919679137010561,0.3323311696993946,1.5873479673111666,2.52598189175502,1.0881450939107202,4.305202139295019e-18,6.797687588360557e-16,15.167638798824575,True
Pglyrp1,1.522207140633875,-0.03269117352907459,1.5548983141629498,,0.8030269332008517,2.756290293218353e-25,4.134435439827529e-22,21.38358378529087,True
Dstn,1.523499271560382,-0.006733286294843602,1.5302325578552256,,0.814249337485415,1.3837171815338687e-10,3.84365883759408e-09,8.41525516718603,True
Prss57,1.9035106019712527,0.43448924158757396,1.4690213603836786,2.129148951539333,1.1170300009823146,4.924835570898628e-24,2.9549013425391767e-21,20.529457014649427,True
Ap3s1,1.6133149903798678,0.22245242455658062,1.3908625658232872,2.85085963566698,0.939515243950745,9.59843075554907e-14,6.74363016085014e-12,11.171106255629205,True
Mcpt8,1.8620088930482759,0.4954157539335958,1.3665931391146802,1.9089404400515513,1.1234757160169297,1.266677417497459e-19,2.7960221495536617e-17,16.553459392514757,True
Cyp11a1,1.9026879186299044,0.567877767417606,1.3348101512122983,1.743820824334785,1.160457395350337,3.871440086942651e-17,5.0497044612295454e-15,14.296734038636398,True
Srgn,1.5169775732476856,0.27163681028121106,1.2453407629664746,2.4765153646894995,0.9216703055151634,1.167352893534195e-13,7.613171044788229e-12,11.118434412821529,True
Anxa3,1.2549024324758418,0.03000073460870237,1.2249016978671394,5.300153325661926,0.7158508431728842,2.833420089933706e-17,3.863754668091417e-15,14.412990457224629,True
Dmkn,0.7657428269291324,-0.3923239304457363,1.1580667573748689,,0.24696675141455401,3.050660006401342e-11,9.84083873032691e-10,9.006967885264832,True
Tuba4a,2.0597153204078755,0.9264095916649127,1.1333057287429629,1.1537748574679958,1.3179190255832514,7.509120494295563e-20,1.8772801235738907e-17,16.726470918084402,True
Gstm1,0.8911132209415603,-0.23810953624766262,1.1292227571892228,,0.4076266792929268,2.2623457763772776e-11,7.712542419467992e-10,9.11280243430519,True
Trem3,1.1323273886299488,0.0076812169914708415,1.124646171638478,6.877451060528755,0.6507685130246517,2.2515485939769127e-12,1.0391762741431905e-10,9.983310777376058,True
Gfi1,1.3436967979793648,0.29855847731401447,1.0451383206653504,2.1668668318033375,0.8648320402426799,4.762390780423961e-14,3.5717930853179705e-12,11.447113707820288,True
Tmx4,1.3101104576397546,0.28765608921355634,1.0224543684261982,2.183815476578259,0.8471015755210168,3.290916025159942e-14,2.5980915988104804e-12,11.585345541424395,True
Nkg7,1.860135345214314,0.8449968775637783,1.0151384676505355,1.1395882537318414,1.2342352658796163,8.269266658612915e-09,1.378211109768819e-07,6.8606842535565455,True
X1700020L24Rik,1.3142065317046883,0.3135742986033751,1.000632233101313,2.064659985368706,0.8590872991468043,8.648784674372915e-23,4.3243923371864576e-20,19.364074910892306,True
Serpinb1a,1.6203038191623127,0.6236367491498891,0.9966670700124236,1.3781573948221675,1.0854044530477733,5.2643067916256295e-12,2.1634137499831356e-10,9.66486041437931,True
Cldn15,1.1451280442318807,0.17570212961018253,0.9694259146216982,2.695455761018839,0.7315439457793268,1.1251820812564088e-10,3.184477588461534e-09,8.496961803221007,True
X4930519L02Rik,1.769128219056857,0.7998019887404667,0.9693262303163902,1.1465666327061141,1.1918564049815288,1.357218378852157e-11,4.84720849590056e-10,9.31450829930516,True
Gng12,1.3607468300998815,0.4136638590126654,0.9470829710872162,1.717206543833556,0.9162514094010737,2.7178761438344586e-13,1.598750672843799e-11,10.796219259737816,True
Ero1l,0.9110291337931268,-0.026072352050824334,0.9371014858439511,,0.5285497066582522,2.1238351589810496e-11,7.323569513727757e-10,9.13527719185631,True
Cmtm7,1.9540302122384592,1.0256820257850086,0.9283481864534506,0.9314468911340751,1.3160623758733847,4.0302479858997056e-13,2.1590614210176993e-11,10.665735002672887,True
Myb,2.1495560040355763,1.2441822342929965,0.9053737697425799,0.7905131197030151,1.4312855083312606,3.906478632821077e-09,7.32464743653952e-08,7.135213274734998,True
Fkbp11,1.4573347026003236,0.5693613082667242,0.8879733943335995,1.3567375932832106,1.0095965623833651,2.638167954233229e-12,1.1812692332387592e-10,9.927651107311073,True
Rpia,1.3473184757621626,0.532095982404094,0.8152224933580686,1.3412796860595966,0.9558389147710042,2.1728495906081355e-15,2.1728495906081356e-13,12.662970335451094,True
Wfdc21,-1.4060959488530236,-2.2128679304435406,0.806771981590517,-0.6590380803489003,,0.0022233373402246116,0.006577921124924886,2.181911338395969,True
Rasgrp2,1.385089752691286,0.5816359324651255,0.8034538202261605,1.2530255058196975,0.9879486328378427,2.4550830394449e-14,2.1043568909527714e-12,11.676880603573746,True
Calr,1.3380361485914214,0.5494007627951,0.7886353857963214,1.285347657035458,0.9588192621581332,6.021838479768349e-10,1.3896550337926958e-08,7.857092995079659,True
Sgms2,0.5845483656804108,-0.20092176150582264,0.7854701271862334,,0.2531582548869552,6.100263642377114e-08,7.562310300467496e-07,6.1213455064212585,True
Mgst2,0.5624859644612527,-0.2145418636129385,0.7770278280741911,,0.23139806160430648,1.4433257187959933e-07,1.6156631180552165e-06,5.791649188871917,True
Gm5483,-2.272162303678884,-3.041877858636709,0.7697155549578247,-0.42373185124117513,,1.562196593268713e-05,9.243766824075224e-05,4.034151018222642,True
Chil3,0.06342152252493499,-0.6912106761251525,0.7546321986500875,,-0.5434978248418255,1.1418316120519391e-06,9.731519420897209e-06,5.0118193463098475,True
G0s2,0.7435608295133049,0.005612473251061393,0.7379483562622435,6.621444842598125,0.4589978545256806,1.6356098316204437e-18,3.066768434288332e-16,15.513319015510021,True
Ppic,1.244083135256228,0.5141080273228233,0.7299751079334047,1.2762241105826673,0.9100384521466302,5.702734176060524e-13,2.8996953437595888e-11,10.53764762881637,True
Rps2,1.6634073272242669,0.9395925510908705,0.7238147761333964,0.8261200429932977,1.202574404422727,6.528798259109566e-09,1.1454032033525554e-07,6.9410416066283185,True
Gsr,0.6796984762611306,-0.042598188787046166,0.7222966650481767,,0.398952437144968,3.115751961672959e-10,7.477804708015102e-09,8.126225881163466,True
Id1,1.311997854748499,0.6221572614665805,0.6898405932819185,1.0783144181768196,0.9760538414452391,2.6483542130124885e-07,2.7024022581760085e-06,5.568250004868623,True
Atp8b4,0.6733547959578673,-0.01533078350773908,0.6886855794656064,,0.4103541379046214,2.866243359631434e-10,7.048139408929756e-09,8.151925514367555,True
Gm1604a,0.7713967581730526,0.10119584502276394,0.6702009131502887,2.913177832572971,0.5223534014938299,1.0472198488365531e-07,1.2224356212099842e-06,5.912774003443175,True
Rps12,1.243621306112929,0.5776528519365897,0.6659684541763394,1.1081749303976063,0.9340537678418674,1.141902626216272e-09,2.464538042193393e-08,7.608264473761171,True
Mt1,0.29102306532636646,-0.3638952104873504,0.6549182758137169,,-0.05354770993188893,8.809717845525933e-06,5.733005105548329e-05,4.241617671462639,True
Fcnb,0.40044360693508674,-0.2511955022605205,0.6516391091956073,,0.10383203405603568,1.8883074295602066e-08,2.790602112650552e-07,6.554302081318153,True
Chst13,0.7467618101981561,0.10102645698692334,0.6457353532112328,2.869087305124209,0.5098418860383419,5.3876544617499565e-08,6.954903687340673e-07,6.15770887981228,True
Spcs2,0.9672928798859508,0.32547991534017917,0.6418129645457716,1.5713969869877276,0.7193029678977007,5.2489185786643127e-11,1.5746755735992937e-09,8.802808909245108,True
Hsd11b1,0.466490415033741,-0.16116312885172018,0.6276535438854611,,0.20497158390103437,6.095318341480807e-06,4.165365609212396e-05,4.380346872985925,True
Fam162a,0.36644222594887244,-0.2567740774499002,0.6232163033987727,,0.07701608036968127,7.936223331219185e-09,1.330093295735059e-07,6.876117895572852,True
Gatm,0.9272998074831562,0.325017115425317,0.6022826920578392,1.5129008411010287,0.7014678480742443,7.542110877295999e-10,1.6885322859617907e-08,7.772490630923746,True
Stc2,0.7566118262934756,0.1618154524838371,0.5947963738096385,2.218787365535365,0.545191119666287,9.939449446079388e-22,3.313149815359796e-19,18.47975892556899,True
Pde4d,0.6336069006044006,0.04241330358311555,0.591193597021285,3.8480142985126693,0.4200890084947317,6.917619264938102e-09,1.192692976713466e-07,6.923471338123204,True
Ngp,0.05675308304965484,-0.526230238204785,0.5829833212544399,,-0.3859754210622874,4.036990553194851e-06,2.939556228054503e-05,4.531718228177656,True
X1810037I17Rik,0.7688885489106195,0.18865195173873625,0.5802365971718833,2.0229588639830838,0.5643979250100019,9.489377047933832e-10,2.077965776919817e-08,7.682361609337681,True
Lamtor4,0.6083547793318838,0.03315075651010884,0.575204022821775,4.127332555021697,0.40136043337065647,7.81052887071626e-10,1.7356730823813912e-08,7.7605320717217,True
Dut,2.4450156887765297,1.8719653066547353,0.5730503821217945,0.3872574453005707,1.659235231892483,0.003205750664352885,0.0089296675887267,2.0491647076365043,True
Clec12a,0.5254053581331897,-0.04482216733216286,0.5702275254653525,,0.31067934140456455,3.726733607930221e-05,0.00019209967051186708,3.7164733800368004,True
Hmgb2,2.0886949384446316,1.5192815546119467,0.5694133838326849,0.461420166668613,1.4874803020194032,0.0013072541777153434,0.004198889221783758,2.3768655830907255,True
Prom1,0.6092025365431343,0.054888993419711235,0.5543135431234231,3.434728317543503,0.4136436498097201,4.818304582280327e-08,6.257538418545879e-07,6.203596475333601,True
Nop10,1.6789019412154909,1.1298829719008945,0.5490189693145964,0.5738990546495472,1.265672398927302,5.014582975104018e-05,0.0002490686908164247,3.6036808620269416,True
Thy1,0.9508389385445069,0.40404294569371485,0.546795992850792,1.2365719766070622,0.7462619741680911,1.2441714250964131e-08,1.985379933664489e-07,6.702156371870639,True
Rpl41,1.0059162826109915,0.4611350163711153,0.5447812662398762,1.1275173017339482,0.7937091830188436,3.735505962090207e-09,7.048124456773975e-08,7.151926435695192,True
Gpx1,0.5519030422802934,0.01063434020434737,0.541268702075946,5.464469043650243,0.3575730509134307,2.0623822735224383e-08,3.003469330372483e-07,6.5223767984487715,True
Slc40a1,0.48712636102267154,-0.053042239723855814,0.5401686007465274,,0.283379028069514,3.548710687260087e-08,4.795554982783902e-07,6.319161125299727,True
Lman1,0.9583984542857334,0.423636384049246,0.5347620702364875,1.1799366211067368,0.7578915210235427,1.9446843083500496e-08,2.845879475634219e-07,6.545783496442653,True
Ddx39,1.163462523677543,0.6302192362031962,0.5332432874743469,0.8872900470857554,0.9235986606422333,9.403188046928233e-09,1.5585394552919723e-07,6.8072821988419445,True
Eif5a,1.3608272873916958,0.8362192966025972,0.5246079907890986,0.7053810529268878,1.0693744761198387,3.359589558232125e-07,3.3125946038288576e-06,5.479831709935392,True
Rab44,0.6858994925277676,0.16800875524960984,0.5178907372781578,2.0248541423969333,0.5129389533825695,2.424376692229056e-10,6.11187401402283e-09,8.213825606588552,True
Cystm1,0.732896610662082,0.21792212963610877,0.5149744810259732,1.7482867492443015,0.5611153031811724,9.665869897218535e-14,6.74363016085014e-12,11.171106255629205,True
Flnb,1.140639458057621,0.6272423941485589,0.513397063909062,0.8656641373555807,0.9137537277138091,5.666338075562851e-07,5.214421541929004e-06,5.282793862708639,True
Gda,-0.15275899014015845,-0.6599433283210085,0.5071843381808501,-2.1640464040416623,-0.7523183044158315,6.730105032797609e-05,0.000322014594870699,3.4921244440552086,True
Thbs1,0.2899887607551997,-0.21412919036393785,0.5041179511191376,,0.05370885026963706,1.6608816549246343e-07,1.8251446757413565e-06,5.7387027041468,True
Ptma,2.467189363601946,1.9632022211285944,0.5039871424733517,0.3316671533059347,1.6849065944968142,0.016721953467733686,0.03565448500582876,1.4478858321299526,True
Adssl1,0.23905148860673517,-0.25922497632355035,0.49827646493028555,,-0.014625984258019854,2.8024509685265316e-06,2.1447328840764274e-05,4.668626789351231,True
Lbp,0.6214798402951922,0.1265805621883575,0.4948992781068347,2.286787055751759,0.4584137150023636,1.3493326008523066e-08,2.0865968054417112e-07,6.680561461853835,True
Hmgn2,0.8981075491884615,0.40324963579170175,0.4948579133967597,1.15760752292145,0.7230592370524349,2.789833310636504e-06,2.14053706698453e-05,4.669477247228196,True
Fcor,0.08311188260753175,-0.39275962941493636,0.47587151202246813,,-0.24267607835701022,0.00044170427585522843,0.001652260383498361,2.781921510159986,True
Ramp1,0.731111350703094,0.26072256840758384,0.4703887822955101,1.4882492339005797,0.5810300914268641,2.141285102481579e-07,2.253984318401662e-06,5.647049109787391,True
Tmsb4x,-0.9442413339792982,-1.4117747469053137,0.46753341292601547,-0.5873604830622946,,0.01593832637486576,0.034325182429718076,1.4643871459190483,True
Rps8,1.4074897471007084,0.9412402417843879,0.4662495053163205,0.5835156397603296,1.1205941351552757,1.622146364780321e-05,9.523364176792492e-05,4.021209607778737,True
Prdx5,-0.3630090939747492,-0.8290980505009,0.46608895652615084,-1.2119051249947,-1.3077641225209082,2.2885295740880284e-05,0.00012714053189377935,3.8957159760261364,True
Adgrg3,1.017392394682316,0.5522570391103775,0.4651353555719385,0.8846651934690336,0.8357823977942404,6.711224188722312e-09,1.1705623584980777e-07,6.931605445504099,True
Abcd2,0.40435325363491903,-0.05679060936240286,0.4611438629973219,,0.2311636564415407,3.8473644607711684e-10,9.088262505758665e-09,8.041519137271703,True
Sec61g,0.4572967611868104,0.0021651682152266116,0.4551315929715838,6.7972697326903795,0.29834272341335527,1.3553535324000238e-07,1.5228691375281166e-06,5.8173374146490024,True
Prkar2b,0.6183041814272365,0.1651698399107457,0.4531343415164908,1.900824496453877,0.4768866183351413,1.548678534187865e-09,3.204162484526617e-08,7.494285468760068,True
Neu1,0.25222794266098864,-0.20049447113745358,0.45272241379844225,,0.03684333119570902,0.0001298896146593902,0.0005722009456360802,3.242451428802353,True
Srm,1.9032139595017528,1.4548140304102206,0.44839992909153215,0.39012608437445656,1.4217021177241005,0.008336188676477289,0.01973841044154054,1.704687824526751,True
Unc119,0.5614130855071542,0.11417449013217094,0.4472385953749832,2.2879850283642145,0.41985575109319556,1.2819219600617957e-05,7.816597317449973e-05,4.106982260732408,True
Ssr1,0.8244004771194684,0.3773246937072054,0.447075783412263,1.130291246484702,0.6788494753425878,1.2191082151615128e-07,1.3906177359256799e-06,5.856792235927295,True
Igf1r,0.7415483810334376,0.29509045802913525,0.4464579230043023,1.3311727806198008,0.6024753325826648,1.1552469310251284e-06,9.813119774253706e-06,5.008192900331958,True
Timm8a1,1.2359569670442898,0.7985648059322957,0.4373921611119941,0.6334697701101064,1.0123976755739796,7.010569003463363e-05,0.0003338366192125411,3.476466026405539,True
Arhgdib,0.32302537281404303,-0.11404671667655379,0.43707208949059684,,0.1433794789768629,4.013490006466856e-05,0.0002044222414159689,3.6894718541403964,True
Dgat2,0.5481090543450313,0.11237321711145336,0.43573583723357795,2.276296699332219,0.4116877899267985,2.4534724362324426e-07,2.5380749340335614e-06,5.595495559957283,True
Trf,0.6332994233270755,0.19832065489449685,0.4349787684325786,1.6740731435654048,0.5016277103240235,3.367804513892672e-07,3.3125946038288576e-06,5.479831709935392,True
Ran,1.752913662456762,1.3196319276258033,0.4332817348309588,0.4123251657030669,1.3427099264265792,0.0009160354979749928,0.0030721573716900323,2.512556541275275,True
Tmem40,0.5071239871847661,0.07781468621617887,0.42930930096858727,2.6844474402002527,0.37013005360409923,3.384750423196906e-08,4.6366444153382274e-07,6.333796208908567,True
Tfec,0.13705419369660715,-0.2906672939696751,0.42772148766628226,,-0.11529510691243579,1.4455328029771279e-05,8.708028933597155e-05,4.060080136626728,True
Ube2c,1.334232109597788,0.9118069302622698,0.42242517933551826,0.5524703275427447,1.0861176360462994,0.0015536277305955718,0.004885621794325698,2.3110801556586873,True
Ebna1bp2,1.1514682693326355,0.7294730462118867,0.4219952231207488,0.6620366803956818,0.9564066180208101,3.329444619843856e-05,0.00017371015407880987,3.7601747944975985,True
Glrx,0.008915334558421098,-0.4094000965337627,0.4183154310921838,,-0.3223652634276941,1.0522707854020757e-05,6.618055254101104e-05,4.17926961123917,True
Chchd10,0.6255235105504077,0.21249393129736702,0.4130295792530406,1.55779082587097,0.5048834559206504,1.3409371654376134e-06,1.1205603053796213e-05,4.950564766001885,True
Nt5dc2,0.2376296304681079,-0.17533259616610677,0.41296222663421467,,0.044252140199830814,0.00018015118910861985,0.0007676897263151414,3.114814271343781,True
Svip,0.4545386034184398,0.042840348523598526,0.4116982548948413,3.360303514370589,0.32041475222583965,5.1247595966404243e-05,0.0002537009701307141,3.595677872070306,True
P4hb,0.28619392791547565,-0.1239431462817011,0.41013707419717677,,0.11253385907506085,2.4027321799839557e-06,1.8674084300393436e-05,4.728760684989748,True
Tomm5,1.253653181919352,0.8456774859483281,0.4079756959710238,0.5713846588832742,1.0353883680287783,0.002517552239667186,0.007290209188225442,2.1372600096808534,True
Fdps,0.4615197043365518,0.054514966517669294,0.4070047378188825,3.048175334760921,0.33115180263246996,4.662399147669247e-06,3.31450176374591e-05,4.479581745545255,True
Cycs,1.249881763563308,0.843942184809077,0.4059395787542309,0.5700149709083354,1.0334490617479102,0.00029238322955287514,0.0011511150769798234,2.9388812577784336,True
Prdx6,0.8121314904215724,0.40630823328937676,0.40582325713219564,1.0025900994090322,0.6863614497028027,3.136288801825462e-06,2.3581118810717758e-05,4.627435593566876,True
Snrpd1,1.5478882399246932,1.1449060115696321,0.40298222835506103,0.4380913645444719,1.2304472089585912,0.0069906323683979485,0.017008837879313746,1.7693253583358575,True
Lyar,1.5081512881316126,1.1058581705287411,0.40229311760287145,0.4506907910384604,1.2060209615303015,0.0011411352996606658,0.0037130215824099752,2.4302725263746177,True
Cks2,1.3815029662638325,0.9800659814753292,0.4014369847885033,0.49854947924344173,1.1248471960015891,0.002179165717791076,0.006472769458785374,2.1889098610124083,True
Gclm,0.4677116083355263,0.06784931554810295,0.39986229278742336,2.7615461100775005,0.3423049395707165,8.04277488822755e-07,7.138557593101376e-06,5.146389532291079,True
Selenbp1,-0.0407631068922876,-0.43964355884503903,0.39888045195275146,-3.652152531985837,-0.3963147112914266,2.6961606594914787e-09,5.2522610249834e-08,7.279653698634924,True
Itih5,0.7731336921990477,0.37499621819236234,0.39813747400668537,1.0472326742398839,0.6544950761727009,6.310850389924516e-10,1.4452329137231715e-08,7.840062156372226,True
Tfrc,1.2153269338975947,0.8179981485065119,0.39732878539108285,0.5747006348371225,1.0119696903635502,0.0004653251955360517,0.0017276925576833605,2.762533537540505,True
Siva1,1.1338158384815107,0.7365885714158361,0.39722726706567457,0.6258976269486978,0.9524843182226956,1.716198695518553e-05,9.977899392549728e-05,4.000960879378674,True
Pgp,0.7717241426156173,0.3789531955102476,0.3927709471053697,1.029556430591553,0.6556620150596657,5.31073261718983e-07,4.94788753154332e-06,5.305580180705255,True
Mgll,0.26227474315648036,-0.12610252593496765,0.388377269091448,,0.09502796112468079,7.260348878589442e-11,2.107265524535484e-09,8.676280737968018,True
Fut8,1.3930820167486513,1.0056829760219768,0.3873990407266745,0.4733896056510921,1.1370985262716657,0.01634664127207004,0.03502851701157866,1.4555782488462083,True
Nhsl2,0.442844011887311,0.0562543023478886,0.3865897095394224,2.9456245719909036,0.321407657995085,8.30964840406509e-12,3.155562685088009e-10,9.500923188166302,True
Mgam,0.37793831958744395,-0.007166908995850075,0.38510522858329405,,0.24535656509562906,0.00010613852310473944,0.0004817179566024483,3.3172071645470838,True
Ppa1,1.144626768841707,0.7612019438099914,0.3834248250317157,0.5922234809097656,0.965628682244055,4.8776032854137144e-05,0.00024266683012008527,3.6149895828782164,True
Rrm2,1.345566575851206,0.9633217494337898,0.3822448264174163,0.4854999582750332,1.107315708184821,0.003196181667530672,0.008919576746597224,2.0496557533568875,True
Hk3,0.338357566882327,-0.0423396005213173,0.3806971674036443,,0.19913393115929737,1.525289190658856e-07,1.7010660118872e-06,5.76927883274717,True
Dbi,0.23464054931598824,-0.14553365583811623,0.3801742051541045,,0.06288631277122746,1.562196593268713e-05,9.243766824075224e-05,4.034151018222642,True
Cenpv,0.9969380159058633,0.6181378905608841,0.3788001253449792,0.6935030001064979,0.8540259400487139,8.922598331281209e-05,0.0004124467641578371,3.3846320992946994,True
Rhoj,0.4809426129279962,0.10403589192229776,0.37690672100569844,2.19905798426141,0.3701522839928916,2.33605132991885e-05,0.0001295407391821913,3.8875936291145257,True
Mcemp1,-0.3107411900498758,-0.6875977108257342,0.37685652077585835,-1.1695523598731592,-0.9976055287077791,0.00029978337107721407,0.0011771598340728302,2.9291645649024707,True
Tst,0.4188695081518245,0.04398458422467443,0.37488492392715006,3.2076359021698178,0.30033116034191093,3.356361264622535e-10,7.991336344339369e-09,8.097380590092252,True
Fam107b,0.735792158277839,0.3612595996243952,0.37453255865344376,1.029921477011041,0.630895493521109,1.1803268597607997e-05,7.285968270128393e-05,4.137512724411446,True
Mxi1,0.13293337266341726,-0.24027235516023315,0.3732057278236504,,-0.07958395776961472,0.0001924684773424983,0.0008098252903611429,3.0916086645980023,True
Cebpa,0.6262704795616711,0.2531354978897833,0.37313498167188786,1.309169562433966,0.5257712138280336,0.0002191153333353348,0.0009029478022060499,3.0443373547464065,True
mt.Nd3,0.6696321397119759,0.29704725015599515,0.37258488955598074,1.1757628211754945,0.5688490226590246,1.9171928341179626e-06,1.533182621363922e-05,4.8144061121208725,True
Sfxn1,1.056199017834413,0.6852075277295101,0.37099149010490284,0.6281716770996749,0.9035807393187774,2.9665763070113154e-05,0.0001580768902492708,3.8011316162841924,True
Abhd5,0.1323465748237703,-0.23625151114252937,0.36859808596629967,,-0.07696870218609812,0.0007413613559025582,0.002592172573085868,2.5863360888183973,True
mt.Nd2,0.8286180035886495,0.46105804298234637,0.3675599606063031,0.8498406837578535,0.7179455204295548,1.754751932733164e-07,1.9073390573186566e-06,5.719572097916876,True
Mgst1,-0.23224887260026758,-0.5976373766626198,0.36538850406235224,-1.3962200687027237,-0.7733512140824815,4.8199902312396726e-05,0.00024019884873287405,3.6194290784908074,True
H2afz,1.1753439208422254,0.8127739893876572,0.3625699314545682,0.5358990479894532,0.9957080641967998,0.002506049139713225,0.007285026568933794,2.1375688599927836,True
Hmmr,0.9580033550305294,0.5967508714079155,0.36125248362261386,0.6870110501478651,0.8297498162284458,0.001629285643348777,0.005065136715073919,2.295408827934325,True
Nfe2,0.6159199338343552,0.25560191562548096,0.3603180182088742,1.2714750691531813,0.5218155392574358,3.294971167288565e-06,2.452832134457989e-05,4.610332172777385,True
Tceal8,0.4950767484682152,0.135062052857641,0.3600146956105742,1.870065282607607,0.39513893742651546,1.940126565094816e-05,0.000111075948383291,3.954379969999118,True
Muc13,1.316332005428152,0.9576041132596621,0.3587278921684899,0.4625212468166552,1.0955653446048725,0.0007314674902152711,0.0025635542881376327,2.591157481114567,True
Lbr,1.0038069344321134,0.650693297570259,0.3531136368618545,0.6295343258439885,0.8696741251625923,3.9339887102883404e-05,0.00020105564107095438,3.696683737275725,True
Mtus1,0.1802745769630458,-0.16968545287012102,0.3499600298331668,,0.007618288407392271,0.02096232892023523,0.04325102253143445,1.3640036205804364,True
Npm3,1.087776447920771,0.7382020141927937,0.34957443372797725,0.5632641246772364,0.9358287522283508,0.00039917810253090394,0.001521644609393535,2.8176867681974955,True
Ncam1,0.45660768778637106,0.10837743214711613,0.3482302556392549,2.0671955005663416,0.35895045645204293,7.305187151723011e-11,2.107265524535484e-09,8.676280737968018,True
Hsp90ab1,1.690995872697469,1.3438834485720665,0.34711242412540244,0.3343890921450126,1.3319571993457724,0.017495335953938408,0.03706638973292036,1.431019712201515,True
mt.Nd1,1.2427771661994491,0.8957830115540951,0.346994154645354,0.47602234642521185,1.0491289354274216,0.0008473685480617826,0.002875685117856728,2.541258670119482,True
Tspan32,0.6196383177112817,0.27367496570884764,0.3459633520024341,1.182250801826291,0.532722544479506,5.0034047259999075e-06,3.5235244549295125e-05,4.453022709946737,True
Snrpf,1.2852194844369098,0.9415705094751519,0.34364897496175795,0.4524788136323518,1.0795624345196215,0.001209783599350602,0.003919385311071065,2.406782039342447,True
Afp,0.5530253151701158,0.210411256285018,0.34261405888509777,1.3959304982236724,0.4664634990737664,3.749239462003325e-05,0.00019226869035914487,3.716091431889092,True
Med21,0.5240458581876859,0.18352848550420406,0.3405173726834818,1.5143468554364499,0.4370009514266247,0.015837659614220793,0.034132887099613776,1.4668269757588202,True
Cst7,0.7428115821136819,0.4025122739302151,0.3402993081834668,0.8883275233996175,0.6532085708259936,2.768371787233464e-05,0.0001496417182288359,3.824947313752248,True
Mlec,0.9975790100669887,0.6575716850622322,0.3400073250047565,0.6054843743511329,0.8699308870625017,0.00020482443316957323,0.0008522514556292922,3.069432248331715,True
Mpc1,0.14008072141559616,-0.19754232470302124,0.3376230461186174,,-0.042056884404676795,0.00027413244875271913,0.0010979937867265119,2.959400117443327,True
Ptgr1,0.0026206249895828833,-0.3344048371890467,0.33702546217862955,,-0.26169408300752744,0.0018741361825634387,0.005690696910617729,2.2448345445184583,True
AC140186.1,0.30109108272724716,-0.0323530685519261,0.33344415127917326,,0.18189002131863552,9.98181311175046e-12,3.6969678191668367e-10,9.432154329794514,True
Syce2,1.3308588045593581,0.9994566529374013,0.33140215162195685,0.41669573316548203,1.1144721271203035,0.004744227208718462,0.01219595683475183,1.9137841214058915,True
