,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Bcl2a1b,-1.1348794305886456,-0.8901873084196251,-0.24469212216902048,0.34601640186847804,,0.013202720568692145,0.02923111565024091,1.534154608813039,True
Serpinb6a,-0.6216506533750746,-0.37651108240942255,-0.2451395709656521,0.7172151094498693,-0.9973503799378715,0.003984851700172394,0.010673709911176055,1.9716846045760397,True
Card19,-0.5619221312095651,-0.31571871694892895,-0.2462034142606362,0.8255347843394044,-0.833465591727909,0.0007438541690400186,0.0025978608930384817,2.585384107690713,True
Maf,-0.762480872506652,-0.516013625156836,-0.24646724734981595,0.5575878146803849,-1.4709176978655112,0.0017880598199044705,0.005490460040648323,2.260391264886057,True
Tspan8,-0.3300082164896023,-0.08342433180110412,-0.2465838846884982,1.9927105335936612,-0.33409114235750326,7.324321837654397e-08,8.968557352229874e-07,6.047277410284126,True
Padi2,-0.28598204381868897,-0.03903988599696627,-0.24694215782172269,2.918428093142722,-0.25585779293311495,3.712983756294511e-13,2.1016889186572703e-11,10.677431565619171,True
Sapcd1,-0.14336320251968881,0.10577990954001051,-0.24914311205969933,,-0.02736857856585625,0.01827712149040744,0.03847815050612093,1.4147858109660756,True
Mllt3,-0.0408143131255409,0.20849948071740604,-0.24931379384294694,,0.11615523633356277,0.003205750664352885,0.0089296675887267,2.0491647076365043,True
March1,-0.8495488506546132,-0.6000903110981214,-0.24945853955649178,0.4961897112042779,-1.8615502783294222,7.72429466380419e-06,5.1267442458877366e-05,4.290158347348002,True
Snx1,-0.7378558056907237,-0.4880955169016289,-0.24976028878909484,0.590413467576801,-1.3695037992587533,0.004840865044171788,0.012391292775183759,1.9068833816110202,True
Rap2b,-0.8298579453647548,-0.5798706553114669,-0.2499872900532879,0.5117323753195573,-1.7605496549371848,0.0001519557899435023,0.0006616362406828837,3.1793807146140063,True
Gadd45g,-0.50361306451132,-0.252436041745507,-0.25117702276581305,0.9907202109270098,-0.6850704652963797,0.0006423157672366245,0.0022804110079406785,2.6419868712478234,True
Dpep2,-0.914041417394607,-0.662738523715487,-0.25130289367911995,0.45875429592329087,-2.2405200880044434,4.1191228312783277e-05,0.00020873933266613148,3.680395709293985,True
Tubb2b,-0.41270026019611333,-0.16098964548011582,-0.25171061471599754,1.3552020136439498,-0.48771232753935934,1.1434882026825832e-14,1.0395347297114392e-12,11.983160996789383,True
Klhl6,-0.16105500635110714,0.0907101345796327,-0.2517651409307399,,-0.05165697077239248,0.00033234985350250095,0.0012898441921183738,2.8894627475224413,True
Cd244,-0.7069998963419873,-0.45518299020703884,-0.2518169061349485,0.6294185181173804,-1.2552927415510402,0.0004062261429591319,0.0015387353899967116,2.8128360575855216,True
Fam46c,-0.6589391343830129,-0.40653559480664214,-0.25240353957637074,0.6907870754028201,-1.0976944179904204,2.2752272651017808e-09,4.550454530203561e-08,7.341945220903302,True
