,MCC,ACC,F1-macro,F1-micro,F1-weighted,Kappa
0,0.5047392702867788,0.7302631578947368,0.5857812637998397,0.7302631578947368,0.7167207826120975,0.4981175381022369
1,0.5160017012502077,0.7401315789473685,0.5776008403915381,0.7401315789473684,0.7173166854317404,0.5044057863348397
2,0.5003268052620421,0.7302631578947368,0.5970801185166961,0.7302631578947368,0.7110263887777972,0.4900372325191278
3,0.614474311347238,0.7861842105263158,0.653181788789966,0.7861842105263158,0.7707749234053517,0.6075627581823959
4,0.539903096631,0.7467105263157895,0.5835743138698953,0.7467105263157896,0.7337633809788844,0.5351128058468382
5,0.5427322476449884,0.7532894736842105,0.6190700936929686,0.7532894736842106,0.733510426622634,0.5326623895709923
6,0.5538414200481439,0.756578947368421,0.6334225082909294,0.7565789473684209,0.7390116014717816,0.5451494197096527
7,0.5317903740233271,0.7467105263157895,0.6113929744297161,0.7467105263157896,0.7233279145041366,0.5176889951167246
8,0.5194709899564116,0.7368421052631579,0.5883917396745934,0.7368421052631579,0.7232358018795424,0.5137361538769145
9,0.5789037313098739,0.7664473684210527,0.6572193029880192,0.7664473684210528,0.7561927450703797,0.5738345805279681
10,0.5571541045561712,0.7598684210526315,0.6189882699511657,0.7598684210526314,0.7397205697833344,0.5454694412583976
11,0.5326187969449055,0.743421052631579,0.5804063263771385,0.7434210526315789,0.7316586563436934,0.5281381835548834
12,0.5249257980366028,0.743421052631579,0.5811867141770357,0.7434210526315789,0.7259088260984585,0.5143571048212019
13,0.46592206148590487,0.7105263157894737,0.5574749320304627,0.7105263157894737,0.6912807573406218,0.45696654758038324
14,0.5459293764853461,0.7532894736842105,0.6060569729522348,0.7532894736842106,0.7301175515159468,0.5345133827402462
15,0.5414737041124127,0.75,0.5883801766320563,0.75,0.730307824307008,0.5332996667003334
16,0.4740558100549427,0.7203947368421053,0.5533592548603636,0.7203947368421053,0.699566252337251,0.4622716111041745
17,0.5872743105555355,0.7730263157894737,0.6444843279412013,0.7730263157894737,0.7594485190708946,0.5800516526857393
18,0.5799838535166,0.7664473684210527,0.6809310410677356,0.7664473684210528,0.752805575001084,0.5741204790749985
19,0.507336878286386,0.7335526315789473,0.5809860522453124,0.7335526315789475,0.7129417971422218,0.49656526005888124
20,0.5523389966467814,0.7598684210526315,0.6186994360618648,0.7598684210526314,0.7408644399837099,0.5393174458191481
21,0.5836296774329995,0.7697368421052632,0.6308453998109171,0.7697368421052632,0.7566068384126461,0.5797456355162336
22,0.5931056167779339,0.7730263157894737,0.6811466603387107,0.7730263157894737,0.763447260745017,0.5893580783461562
23,0.5125753780343484,0.7368421052631579,0.6009676119970238,0.7368421052631579,0.714483204619621,0.4994236785773093
24,0.4846890048759009,0.7203947368421053,0.5358177064140313,0.7203947368421053,0.698316615337674,0.47594710797436524
